School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Georgia,University of North Georgia,"BIOL 1108K
AND BIOL 1107K","PRINCIPLES OF BIOLOGY II
AND PRINCIPLES OF BIOLOGY I","BIOL 1000
AND BIOL 1015
AND BIOL 1010","BIOLOGY ELECTIVE
AND INTRODUCTION TO BIOLOGY LAB
AND INTRODUCTION TO BIOLOGY","4.0
AND 1.0
AND 3.0"
Georgia,University of West Georgia,"BIOL 1108
AND BIOL 1108L","PRINCIPLES OF BIOLOGY II
AND PRINCIPLES OF BIOLOGY II LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
Hawaii,Univ Hawaii At Manoa,"BIOL 101
AND BIOL 101L","BIOLOGY & SOCIETY
AND BIOLOGY & SOCIETY LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
Idaho,Boise State University,BIOL 203,GENERAL BOTANY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Illinois,City Colleges of Chicago,BIOLOGY 121,BIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Illinois,John A Logan College,BIO 100,BIO/NON-SCI MAJOR,BIOL 1000,BIOLOGY ELECTIVE,3.0
Illinois,Univ Of Chicago,BIOS 10110,BIOLOGICAL ISSUES & PARADIGMS,BIOL 1000,BIOLOGY ELECTIVE,3.0
Illinois,Univ Of Chicago,BIOS 102,PRINC OF GENETICS,BIOL 1000,BIOLOGY ELECTIVE,4.0
Illinois,Univ Of Chicago,BIOS 11120,BEHAVIOR GENETICS,BIOL 1000,BIOLOGY ELECTIVE,3.0
Illinois,Univ Of Chicago,BIOS 152,GLOBAL ECOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Illinois,Univ Of Chicago,BIOS 182,IMMUNOLOGY: BASIC CONCEPTS,BIOL 1000,BIOLOGY ELECTIVE,4.0
Indiana,Indiana Univ Bloomng,BIOL-L 104,INTRO BIOLOGY LECTURES,BIOL 1000,BIOLOGY ELECTIVE,3.0
Indiana,Indiana-Purdue Univ,BIOL-K 101,CONCEPTS OF BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Indiana,Univ Of Notre Dame,BIOL 201,GENERAL BIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Iowa,Grinnell College,NRS 250,"NEURSC: FNDS, FUTURE, FALLACIE",BIOL 1000,BIOLOGY ELECTIVE,4.0
Iowa,University Of Iowa,BIOL 1412,DIVERSITY OF FORM AND FUCTION,BIOL 1000,BIOLOGY ELECTIVE,4.0
Louisiana,Southern Univ A&M,BIOL 109,GENERAL BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Louisiana,Xavier Univ La,"BIOL 1230L
AND BIOL 1230","GENERAL BIOLOGY LAB I
AND GENERAL BIOLOGY I",BIOL 1000,BIOLOGY ELECTIVE,4.0
Maine,Colby College,BI 163,CELLULAR BASIS OF LIFE,BIOL 1000,BIOLOGY ELECTIVE,4.0
Maine,Colby College,BI 164,EVOLUTION AND DIVERSITY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Maine,Univ Maine Augusta,BIO 110,GENERAL BIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Maine,Univ New England,BIO 100,BIOLOGY I W/LAB,BIOL 1000,BIOLOGY ELECTIVE,4.0
Maine,Univ New England,BIO 101,BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
Maine,YORK COUNTY CMTY COLLEGE,BIO 105,MARINE BIOLOGY w/LAB,BIOL 1000,BIOLOGY ELECTIVE,4.0
Maryland,Commun Coll of Baltimore Cnty,BIOL 220,HUMAN ANATOMY & PHYS I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Maryland,Commun Coll of Baltimore Cnty,BIOL 221,HUMAN ANATOMY & PHYS II,BIOL 1000,BIOLOGY ELECTIVE,4.0
Maryland,Hagerstown Community College,BIO 201,CELL BIOLOGY AND GENETICS,BIOL 1000,BIOLOGY ELECTIVE,4.0
Maryland,Howard Cmty College,"BIOL 102
AND BIOL 101","GENERAL BIOLOGY II
AND GENERAL BIOLOGY I","BIOL 1000
AND BIOL 1015
AND BIOL 1010","BIOLOGY ELECTIVE
AND INTRODUCTION TO BIOLOGY LAB
AND INTRODUCTION TO BIOLOGY","4.0
AND 1.0
AND 3.0"
Maryland,Howard Cmty College,HEED 211,NUTRITION,BIOL 1000,BIOLOGY ELECTIVE,3.0
Maryland,Loyola College,BL 121,ORGAN. BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Maryland,Univ. of Maryland Univ.College,BIOL 160,HUMAN BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Maryland,Washington College,BIO 100,CURR TOPICS: DIVRSTY & ADAPTAT,BIOL 1000,BIOLOGY ELECTIVE,4.0
Maryland,Washington College,BIO 112,GENERAL BIOLOGY II W/LAB,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Becker Clg Leicester,"BIOL 1002
AND BIOL 1002L","BIOLOGY II
AND BIOLOGY II LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Berkshire Cmty Coll,"BIO 102
AND BIO 101","GENERAL BIOLOGY II
AND GENERAL BIOLOGY I","BIOL 1000
AND BIOL 1010
AND BIOL 1015","BIOLOGY ELECTIVE
AND INTRODUCTION TO BIOLOGY
AND INTRODUCTION TO BIOLOGY LAB","4.0
AND 3.0
AND 1.0"
Massachusetts,Berkshire Cmty Coll,BIO 109,INTRODUCTORY ECOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,3.0
Massachusetts,Berkshire Cmty Coll,BIO 111,INTRODUCTION TO BOTANY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Berkshire Cmty Coll,BIO 112,ZOOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Berkshire Cmty Coll,BIO 201,ANATOMY AND PHYSIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Berkshire Cmty Coll,BIO 202,ANATOMY AND PHYSIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
