School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Connecticut,Quinnipiac University,AR 101,INTRODUCTION TO ART,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Quinnipiac University,IDD 160,DIGITAL DESIGN I,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Sacred Heart Univ,AR 101,ART IN THE WESTERN WORLD,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Sacred Heart Univ,AR 104,AMERICAN ART,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Sacred Heart Univ,MU 103,FROM BACH TO BEETHOVEN,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Sacred Heart Univ,MU 104,FROM BRAMS TO BERNSTEIN,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Sacred Heart Univ,MU 110,WOMEN IN MUSIC,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Southern Conn St Univ,MUS 115,MUSIC IN WORLD CULTURES,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Three Rvrs Cmty Tech,GRA K131,DIGITAL PHOTOGRAPHY,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Univ of Connecticut,DRAM 101,INTRO TO THE THEATRE,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Univ of Connecticut,GEOG 1093,FOREIGN STUDY-GEOG PHOTOG APPR,ARTS 1000,ARTS ELECTIVE,2.0
Connecticut,Univ of Connecticut,MUSI 1001,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Univ of Connecticut,MUSI 190,NON-WESTERN MUSIC,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Univ of Connecticut,MUSI 191,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Univ of Connecticut,SPSS 2520,FLORAL ART,ARTS 1000,ARTS ELECTIVE,2.0
Connecticut,University of Hartford,MEA 101,VOICE CLASS,ARTS 1000,ARTS ELECTIVE,1.0
Connecticut,University of Hartford,MEA 102,WOODWINDS I - CLAR & SAX,ARTS 1000,ARTS ELECTIVE,2.0
Connecticut,University of Hartford,MEA 104,TECHNOLOGY FOR MUSIC ED,ARTS 1000,ARTS ELECTIVE,1.0
Connecticut,University of Hartford,TH 111,DIATONIC HARMONY,ARTS 1000,ARTS ELECTIVE,2.0
Connecticut,University of Hartford,TH 112,CHROMATIC HARMONY,ARTS 1000,ARTS ELECTIVE,2.0
Connecticut,University of Hartford,TH 120,ELEM EAR TRAINING I,ARTS 1000,ARTS ELECTIVE,2.0
Connecticut,University of Hartford,TH 121,ELEM EAR TRAINING II,ARTS 1000,ARTS ELECTIVE,2.0
Connecticut,University of Hartford,UISA 140,CREATIVITY (AUCA140),ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Westrn Conn St Univ,THR 181,ACTING I: AN INTRODUCTION,ARTS 1000,ARTS ELECTIVE,3.0
Delaware,University of Delaware,THEA 102,INTRODUCTION TO PERFORMANCE,ARTS 1000,ARTS ELECTIVE,3.0
District of Columbia,The American Univers,ARTS 100,ART: STUDIO EXPERIENCE,ARTS 1000,ARTS ELECTIVE,3.0
District of Columbia,The American Univers,PERF 110,UNDERSTANDING MUSIC,ARTS 1000,ARTS ELECTIVE,3.0
Florida,Broward College,ARH 2000,ART APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
